,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,100,ZA,1566201095,67,-34.53,20.04,60.01,8.05
1,Albany,90,US,1566200819,93,42.65,-73.75,68.0,1.39
2,Nantucket,90,US,1566201098,100,41.28,-70.1,75.2,10.29
3,Vaini,40,IN,1566201099,58,15.34,74.49,82.4,5.82
4,Chokurdakh,100,RU,1566201100,41,70.62,147.9,63.71,6.33
5,Ushuaia,20,AR,1566201101,69,-54.81,-68.31,37.4,5.82
6,Port Macquarie,75,AU,1566201102,25,-31.43,152.91,66.0,10.29
7,Castro,0,CL,1566201104,84,-42.48,-73.76,33.8,5.82
8,Westport,1,US,1566201026,78,41.14,-73.36,75.99,4.7
9,Bluff,0,AU,1566201106,41,-23.58,149.07,70.37,11.21
10,New Norfolk,75,AU,1566201107,61,-42.78,147.06,46.4,16.11
11,Khani,75,GE,1566201108,69,41.96,42.96,80.6,2.24
12,Ribeira Grande,75,PT,1566201110,82,38.52,-28.7,68.0,19.46
13,Longyearbyen,75,NO,1566201111,64,78.22,15.63,41.0,11.41
14,Avarua,92,CK,1566201112,88,-21.21,-159.78,77.0,10.29
15,Tasiilaq,75,GL,1566201114,93,65.61,-37.64,44.6,1.43
16,Kahului,40,US,1566200854,74,20.89,-156.47,78.8,11.41
17,Salisbury,20,GB,1566201117,87,51.07,-1.8,64.0,10.29
18,Turukhansk,100,RU,1566201118,44,65.8,87.96,75.05,6.78
19,Samarai,56,PG,1566201119,84,-10.62,150.67,69.29,6.73
20,Cloquet,1,US,1566201120,87,46.72,-92.46,59.0,4.97
21,Togur,89,RU,1566201122,70,58.36,82.83,60.65,12.77
22,Payson,1,US,1566200928,40,40.04,-111.73,78.8,5.82
23,Kodiak,1,US,1566201124,100,39.95,-94.76,70.0,3.67
24,Gillette,1,US,1566201126,72,44.29,-105.5,60.8,6.93
25,Kununurra,0,AU,1566201128,18,-15.77,128.74,91.4,12.75
26,Pishin,0,PK,1566201129,8,30.58,67.0,88.37,6.96
27,Punta Arenas,0,CL,1566201130,92,-53.16,-70.91,24.8,4.7
28,Rikitea,100,PF,1566201131,82,-23.12,-134.97,71.09,9.98
29,Balingasay,92,PH,1566201132,80,16.36,119.86,84.05,14.27
30,Yulara,0,AU,1566201134,23,-25.24,130.99,62.6,13.87
31,Akureyri,75,IS,1566201135,86,65.68,-18.09,41.0,12.75
32,Hithadhoo,97,MV,1566200889,74,-0.6,73.08,82.61,10.49
33,Chapais,1,CA,1566201137,88,49.78,-74.86,62.6,6.93
34,Luderitz,0,NA,1566201138,32,-26.65,15.16,69.8,13.87
35,Yellowknife,90,CA,1566201094,100,62.45,-114.38,48.2,4.7
36,Hofn,6,IS,1566201142,83,64.25,-15.21,34.37,18.81
37,Hay River,75,CA,1566201143,87,60.82,-115.79,50.0,6.93
38,Deputatskiy,96,RU,1566201144,41,69.3,139.9,63.71,5.88
39,Parry Sound,100,CA,1566201146,90,45.34,-80.04,72.0,8.99
40,Cape Town,20,ZA,1566201147,55,-33.93,18.42,64.0,3.36
41,La Ronge,75,CA,1566201148,87,55.1,-105.3,50.0,9.17
42,Okhotsk,100,RU,1566201150,81,59.36,143.24,57.23,6.91
43,Valdivia,0,CL,1566201067,100,-39.81,-73.25,39.2,2.24
44,Doha,0,QA,1566201059,60,25.29,51.53,100.4,8.05
45,Darovskoy,100,RU,1566201154,96,58.77,47.96,63.89,7.14
46,Bowen,0,AU,1566201155,44,-20.01,148.25,75.2,11.41
47,Bambous Virieux,75,MU,1566201156,65,-20.34,57.76,78.01,12.75
48,Mkushi,0,ZM,1566201157,28,-13.61,29.4,72.71,8.97
49,Darlington,20,US,1566201159,100,34.3,-79.88,77.0,5.82
50,Arraial do Cabo,77,BR,1566201160,86,-22.97,-42.02,70.73,23.2
51,Rocha,47,UY,1566201161,84,-34.48,-54.34,37.61,4.88
52,Mataura,32,NZ,1566201162,54,-46.19,168.86,51.01,14.0
53,Russell,1,US,1566201164,88,38.9,-98.86,75.2,10.29
54,Kynashiv,0,UA,1566201165,38,48.67,28.9,78.01,6.71
55,Maraba,32,BR,1566201166,94,-5.35,-49.1,71.6,3.36
56,Cherskiy,100,RU,1566201167,63,68.75,161.3,60.83,5.79
57,Cabo San Lucas,77,MX,1566201169,69,22.89,-109.91,84.0,7.92
58,Brezovica pri Ljubljani,0,SI,1566201170,73,46.02,14.42,81.0,2.24
59,Nikolskoye,20,RU,1566201171,68,59.7,30.79,70.0,11.18
60,Priyutovo,100,RU,1566201174,51,53.89,53.93,83.33,8.68
61,Saint-Philippe,40,CA,1566201175,88,45.36,-73.48,73.4,5.82
